User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,MUNI,,,1079,,,,,,,,,,,,,
Seanny,CalTrain,,,4021,,,,,,,,,,,,,
Seanny,Golden Gate Transit,,,1952,,,,,,,,,,,,,
Seanny,NYC MTA,,,1103,,,,,,,,,,,,,
Seanny,NYC MTA,,,1132,,,,,,,,,,,,,
Seanny,NYC MTA,,,1423,,,,,,,,,,,,,
Seanny,NYC MTA,,,1748,,,,,,,,,,,,,
Seanny,NYC MTA,,,1758,,,,,,,,,,,,,
Seanny,NYC MTA,,,1769,,,,,,,,,,,,,
Seanny,NYC MTA,,,1845,,,,,,,,,,,,,
Seanny,NYC MTA,,,1875,,,,,,,,,,,,,
Seanny,NYC MTA,,,1924,,,,,,,,,,,,,
Seanny,NYC MTA,,,2036,,,,,,,,,,,,,
Seanny,NYC MTA,,,2042,,,,,,,,,,,,,
Seanny,NYC MTA,,,2048,,,,,,,,,,,,,
Seanny,NYC MTA,,,2051,,,,,,,,,,,,,
Seanny,NYC MTA,,,2053,,,,,,,,,,,,,
Seanny,NYC MTA,,,2171,,,,,,,,,,,,,
Seanny,NYC MTA,,,2260,,,,,,,,,,,,,
Seanny,NYC MTA,,,2357,,,,,,,,,,,,,
Seanny,NYC MTA,,,2388,,,,,,,,,,,,,
Seanny,NYC MTA,,,2434,,,,,,,,,,,,,
Seanny,NYC MTA,,,2511,,,,,,,,,,,,,
Seanny,NYC MTA,,,2616,,,,,,,,,,,,,
Seanny,NYC MTA,,,2766,,,,,,,,,,,,,
Seanny,NYC MTA,,,2834,,,,,,,,,,,,,
Seanny,NYC MTA,,,3132,,,,,,,,,,,,,
Seanny,NYC MTA,,,3147,,,,,,,,,,,,,
Seanny,NYC MTA,,,3159,,,,,,,,,,,,,
Seanny,NYC MTA,,,3303,,,,,,,,,,,,,
Seanny,NYC MTA,,,5105,,,,,,,,,,,,,
Seanny,NYC MTA,,,5772,,,,,,,,,,,,,
Seanny,NYC MTA,,,5773,,,,,,,,,,,,,
Seanny,NYC MTA,,,5848,,,,,,,,,,,,,
Seanny,NYC MTA,,,5902,,,,,,,,,,,,,
Seanny,NYC MTA,,,6018,,,,,,,,,,,,,
Seanny,NYC MTA,,,6060,,,,,,,,,,,,,
Seanny,NYC MTA,,,6068,,,,,,,,,,,,,
Seanny,NYC MTA,,,6154,,,,,,,,,,,,,
Seanny,NYC MTA,,,6203,,,,,,,,,,,,,
Seanny,NYC MTA,,,6210,,,,,,,,,,,,,
Seanny,NYC MTA,,,6304,,,,,,,,,,,,,
Seanny,NYC MTA,,,6334,,,,,,,,,,,,,
Seanny,NYC MTA,,,6448,,,,,,,,,,,,,
Seanny,NYC MTA,,,6450,,,,,,,,,,,,,
Seanny,NYC MTA,,,6846,,,,,,,,,,,,,
Seanny,NYC MTA,,,7098,,,,,,,,,,,,,
Seanny,NYC MTA,,,7171,,,,,,,,,,,,,
Seanny,NYC MTA,,,7718,,,,,,,,,,,,,
Seanny,NYC MTA,,,8574,,,,,,,,,,,,,
Seanny,NYC MTA,,,8649,,,,,,,,,,,,,
Seanny,NYC MTA,,,8766,,,,,,,,,,,,,
Seanny,NYC MTA,,,8822,,,,,,,,,,,,,
Seanny,NYC MTA,,,8828,,,,,,,,,,,,,
Seanny,NYC MTA,,,8952,,,,,,,,,,,,,
Seanny,NYC MTA,,,8983,,,,,,,,,,,,,
Seanny,NYC MTA,,,9109,,,,,,,,,,,,,
Seanny,NYC MTA,,,9219,,,,,,,,,,,,,
Seanny,NYC MTA,,,9287,,,,,,,,,,,,,
Seanny,NYC MTA,,,9383,,,,,,,,,,,,,
Seanny,NYC MTA,,,9462,,,,,,,,,,,,,
Seanny,NYC MTA,,,9692,,,,,,,,,,,,,
Seanny,NYC MTA,,,9799,,,,,,,,,,,,,
Seanny,Portland MAX,,,104,,,,,,,,,,,,,
Seanny,Portland MAX,,,321,,,,,,,,,,,,,
Seanny,Portland MAX,,,308,,,,,,,,,,,,,
Seanny,Portland MAX,,,536,,,,,,,,,,,,,
Seanny,AC Transit,,,1354,,,,,,,,,,,,,
Seanny,AC Transit,,,1504,,,,,,,,,,,,,
Seanny,AC Transit,,,1505,,,,,,,,,,,,,
Seanny,AC Transit,,,1521,,,,,,,,,,,,,
Seanny,AC Transit,,,1553,,,,,,,,,,,,,
Seanny,AC Transit,,,1566,,,,,,,,,,,,,
Seanny,AC Transit,,,1580,,,,,,,,,,,,,
Seanny,AC Transit,,,1590,,,,,,,,,,,,,
Seanny,AC Transit,,,1677,,,,,,,,,,,,,
Seanny,AC Transit,,,7033,,,,,,,,,,,,,
Seanny,AC Transit,,,1590,,,,,,,,,,,,,
Seanny,BART,,,4088,,,,,,,,,Fancy Bike Rack,,,,
Seanny,BART,,,314,,,,,,,,,,,,,
Seanny,BART,,,334,,,,,,,,,,,,,
Seanny,BART,,,334,,,,,,,,,,,,,
